Ortholog	Version	Category	Description
COG0757	5.0	E	Catalyzes a trans-dehydration via an enolate intermediate
COG4970	5.0	NU	Tfp pilus assembly protein FimT
COG4970	5.0	NU	protein transport across the cell outer membrane
COG0715	5.0	P	COG0715 ABC-type nitrate sulfonate bicarbonate transport systems periplasmic components
COG0715	5.0	P	thiamine-containing compound biosynthetic process
COG0516	5.0	F	GMP reductase activity
COG0517	5.0	K	IMP dehydrogenase activity
COG0517	5.0	S	IMP dehydrogenase activity
COG0402	5.0	F	S-adenosylhomocysteine deaminase activity
COG0322	5.0	L	excinuclease ABC activity
COG0847	5.0	L	exonuclease activity
COG0847	5.0	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease
COG0331	5.0	I	S-malonyltransferase activity
COG0331	5.0	I	[acyl-carrier-protein] S-malonyltransferase activity
COG1309	5.0	K	negative regulation of cell septum assembly
COG1309	5.0	K	transcriptional regulator
COG0601	5.0	P	transmembrane transport
COG0601	5.0	P	nitrogen compound transport
COG2050	5.0	Q	protein possibly involved in aromatic compounds catabolism
COG2050	5.0	Q	thiolester hydrolase activity
COG1961	5.0	L	COG1961 Site-specific recombinases, DNA invertase Pin homologs
COG1961	5.0	L	recombinase activity
30WY9	5.0	S	Protein of unknown function (DUF3567)
COG3485	5.0	Q	protocatechuate 3,4-dioxygenase
COG3485	5.0	Q	protocatechuate 3,4-dioxygenase activity
COG2391	5.0	Q	methyltransferase activity
COG2391	5.0	S	NA
COG4977	5.0	K	rhamnose metabolic process
COG4977	5.0	K	sequence-specific DNA binding
COG1252	5.0	C	NADH oxidation
COG1252	5.0	C	NADH dehydrogenase
33WGX	5.0	M	NA
COG1749	5.0	N	Flagellar hook protein flgE
COG1749	5.0	N	bacterial-type flagellum-dependent cell motility
COG3547	5.0	L	transposase activity
COG3547	5.0	L	Transposase (IS116 IS110 IS902 family)
COG3540	5.0	P	Alkaline phosphatase
COG3540	5.0	P	PhoD-like phosphatase
344RC	5.0	S	NA
COG3659	5.0	M	PFAM Carbohydrate-selective porin OprB
COG3659	5.0	M	wide pore channel activity
COG0582	5.0	L	viral genome integration into host DNA
COG0582	5.0	L	DNA integration
COG1804	5.0	C	L-carnitine dehydratase bile acid-inducible protein F
COG1804	5.0	C	formyl-CoA transferase activity
COG3221	5.0	P	ABC-type phosphate phosphonate transport system periplasmic component
COG3221	5.0	P	organic phosphonate transport
33SKC	5.0	S	NA
COG0657	5.0	I	carboxylic ester hydrolase activity
COG0657	5.0	I	acetylesterase activity
COG2199	5.0	T	diguanylate cyclase activity
COG2200	5.0	T	cyclic-guanylate-specific phosphodiesterase activity
COG2200	5.0	T	EAL domain
COG2202	5.0	T	phosphorelay sensor kinase activity
COG2202	5.0	T	Pas domain
COG1734	5.0	T	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters
COG1734	5.0	T	zinc ion binding
COG0035	5.0	F	uracil salvage
COG0035	5.0	F	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate
COG1117	5.0	P	ATPase-coupled phosphate ion transmembrane transporter activity
COG1538	5.0	MU	Outer membrane efflux protein
COG1538	5.0	MU	efflux transmembrane transporter activity
COG1126	5.0	E	amino acid-transporting ATPase activity
COG1126	5.0	E	abc transporter atp-binding protein
COG2353	5.0	S	YceI-like domain
COG2353	5.0	O	YceI-like domain
COG0634	5.0	F	guanine phosphoribosyltransferase activity
COG0634	5.0	F	Belongs to the purine pyrimidine phosphoribosyltransferase family
COG4608	5.0	P	ATPase activity
COG4608	5.0	P	Belongs to the ABC transporter superfamily
COG1055	5.0	P	Involved in arsenical resistance. Thought to form the channel of an arsenite pump
COG1055	5.0	P	arsenite transmembrane transporter activity
COG1020	5.0	Q	phosphopantetheine binding
COG1020	5.0	Q	D-alanine [D-alanyl carrier protein] ligase activity
COG3022	5.0	L	response to hydroperoxide
COG3022	5.0	S	response to hydroperoxide
COG2244	5.0	O	polysaccharide biosynthetic process
COG2244	5.0	S	polysaccharide biosynthetic process
COG1295	5.0	G	ribonuclease BN
COG1295	5.0	S	lipopolysaccharide transmembrane transporter activity
COG0714	5.0	S	ATPase activity
COG0714	5.0	KLT	Associated with various cellular activities
346FP	5.0	S	NA
COG4567	5.0	T	phosphorelay signal transduction system
COG4567	5.0	T	Response regulator consisting of a CheY-like receiver domain and a Fis-type HTH domain
COG2913	5.0	J	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
COG2913	5.0	J	Gram-negative-bacterium-type cell outer membrane assembly
32QX0	5.0	S	NA
COG3211	5.0	S	Bacterial protein of unknown function (DUF839)
COG3211	5.0	O	Phosphatase
COG3173	5.0	K	Aminoglycoside phosphotransferase
COG3173	5.0	S	very-long-chain-acyl-CoA dehydrogenase activity
32ZDU	5.0	S	phosphate starvation-inducible protein, PsiF
COG0444	5.0	P	ATPase activity
COG0444	5.0	P	Belongs to the ABC transporter superfamily
COG3419	5.0	NU	NA
COG3419	5.0	NU	Tfp pilus assembly protein tip-associated adhesin
COG1846	5.0	K	Transcriptional regulator
COG1846	5.0	K	DNA-binding transcription factor activity
34010	5.0	S	NA
COG3088	5.0	O	subunit of a heme lyase
COG3088	5.0	O	cytochrome complex assembly
342AR	5.0	S	NA
COG2188	5.0	K	Transcriptional regulator
COG2188	5.0	K	DNA-binding transcription factor activity
COG1209	5.0	M	glucose-1-phosphate thymidylyltransferase activity
COG1209	5.0	M	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis
COG0456	5.0	S	peptide alpha-N-acetyltransferase activity
COG0456	5.0	K	acetyltransferase
COG0405	5.0	E	glutathione hydrolase activity
COG0405	5.0	E	Gamma-glutamyltransferase
COG3542	5.0	S	Cupin superfamily (DUF985)
COG3542	5.0	G	PFAM Cupin superfamily (DUF985)
COG2987	5.0	E	Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate
COG2987	5.0	E	urocanate hydratase activity
COG5319	5.0	S	Protein conserved in bacteria
COG5319	5.0	S	Protein of unknown function (DUF1178)
COG5001	5.0	T	Diguanylate cyclase
COG5001	5.0	T	cyclic-guanylate-specific phosphodiesterase activity
COG1024	5.0	I	enoyl-CoA hydratase activity
COG1024	5.0	I	Enoyl-CoA hydratase
COG0129	5.0	EG	dihydroxy-acid dehydratase activity
2ZESX	5.0	S	NA
COG0351	5.0	H	phosphomethylpyrimidine kinase
COG0351	5.0	H	phosphomethylpyrimidine kinase activity
COG0824	5.0	S	phylloquinone biosynthetic process
COG0824	5.0	IQ	Thioesterase
COG1076	5.0	O	Co-chaperone involved in the maturation of iron-sulfur cluster-containing proteins. Seems to help targeting proteins to be folded toward HscA
COG1076	5.0	O	ATPase activator activity
COG3245	5.0	C	cytochrome
COG3245	5.0	C	photosynthesis
COG4149	5.0	P	molybdate ion transmembrane transporter activity
COG4149	5.0	P	molybdate abc transporter
COG1898	5.0	M	dTDP-4-dehydrorhamnose 3,5-epimerase activity
COG0531	5.0	E	anion transport
COG0531	5.0	E	amino acid
COG4285	5.0	V	Biotin-protein ligase, N terminal
COG4285	5.0	S	Biotin-protein ligase, N terminal
COG2080	5.0	C	2 iron, 2 sulfur cluster binding
32VVZ	5.0	L	Terminase
341QA	5.0	S	NA
COG0633	5.0	C	2 iron, 2 sulfur cluster binding
COG0633	5.0	C	Ferredoxin
COG3653	5.0	Q	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
COG3653	5.0	Q	N-Acyl-D-aspartate D-glutamate deacylase
COG4521	5.0	P	cellular response to sulfate starvation
COG4521	5.0	P	taurine ABC transporter
32ASY	5.0	S	NA
COG3536	5.0	D	Protein conserved in bacteria
COG3536	5.0	S	Protein of unknown function (DUF971)
COG2814	5.0	G	Major Facilitator Superfamily
COG2814	5.0	EGP	Major facilitator Superfamily
COG0560	5.0	E	phosphoserine phosphatase activity
COG0560	5.0	E	Phosphoserine phosphatase
COG3511	5.0	M	phosphatidylcholine phospholipase C activity
COG3511	5.0	M	phospholipase C
32ZWP	5.0	S	NA
COG1893	5.0	H	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid
COG1893	5.0	H	2-dehydropantoate 2-reductase activity
2ZR40	5.0	S	NA
COG0078	5.0	E	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline
COG0845	5.0	M	response to antibiotic
COG0845	5.0	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
COG3268	5.0	S	Saccharopine dehydrogenase
COG3268	5.0	S	Saccharopine dehydrogenase NADP binding domain
COG1473	5.0	CH	amidohydrolase
COG1473	5.0	S	N-acetyldiaminopimelate deacetylase activity
2Z8JG	5.0	S	Oxygen tolerance
COG1738	5.0	T	Involved in the import of queuosine (Q) precursors, required for Q precursor salvage
COG1738	5.0	S	queuosine salvage
COG1764	5.0	O	response to oxidative stress
COG5455	5.0	S	response to cobalt ion
COG5455	5.0	D	response to cobalt ion
33A3X	5.0	S	NA
33C8N	5.0	S	NA
COG0457	5.0	M	Tetratricopeptide repeat
COG0457	5.0	S	peptidyl-tyrosine sulfation
309D6	5.0	S	Domain of unknown function (DUF4382)
COG1246	5.0	E	methione N-acyltransferase activity
COG1246	5.0	E	Belongs to the acetyltransferase family. ArgA subfamily
COG3310	5.0	S	photosynthesis
COG3310	5.0	S	Protein conserved in bacteria
COG0300	5.0	GM	oxidoreductase activity
COG0300	5.0	S	Belongs to the short-chain dehydrogenases reductases (SDR) family
COG4992	5.0	E	transaminase activity
COG4992	5.0	E	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
COG3157	5.0	F	Type VI secretion system effector, Hcp
COG3157	5.0	S	Type VI secretion system effector, Hcp
COG0246	5.0	G	Mannitol dehydrogenase
COG0246	5.0	G	mannitol metabolic process
33ZCW	5.0	S	NA
COG0527	5.0	E	aspartate kinase activity
COG1211	5.0	I	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
COG0739	5.0	M	photosynthesis
COG0739	5.0	M	heme binding
COG2931	5.0	Q	toxin activity
COG2931	5.0	Q	calcium- and calmodulin-responsive adenylate cyclase activity
COG0590	5.0	FJ	tRNA wobble adenosine to inosine editing
COG0589	5.0	T	response to stress
COG0589	5.0	T	AMP binding
COG0745	5.0	T	RESPONSE REGULATOR receiver
COG0745	5.0	T	phosphorelay signal transduction system
COG1835	5.0	I	transferase activity, transferring acyl groups other than amino-acyl groups
COG0410	5.0	E	ABC transporter
COG0410	5.0	E	branched-chain amino acid transmembrane transporter activity
COG2144	5.0	QT	transferase activity, transferring acyl groups
COG2144	5.0	S	NA
COG2207	5.0	K	sequence-specific DNA binding
COG2207	5.0	K	Transcriptional regulator
COG1393	5.0	P	Belongs to the ArsC family
COG1393	5.0	P	arsenate reductase (glutaredoxin) activity
COG1291	5.0	N	archaeal or bacterial-type flagellum-dependent cell motility
COG0015	5.0	F	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
COG0015	5.0	F	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
COG3609	5.0	K	addiction module antidote protein, CC2985 family
COG3609	5.0	K	positive regulation of growth
COG0789	5.0	K	Transcriptional regulator
COG0789	5.0	K	bacterial-type RNA polymerase transcription factor activity, metal ion regulated sequence-specific DNA binding
COG0339	5.0	E	signal peptide processing
COG0339	5.0	E	metalloendopeptidase activity
COG4965	5.0	U	Type II secretion system (T2SS), protein F
COG4965	5.0	U	Type ii secretion system
COG2945	5.0	S	thiolester hydrolase activity
COG2945	5.0	S	NA
COG3246	5.0	S	L-lysine catabolic process to acetate
COG3246	5.0	K	L-lysine catabolic process to acetate
COG4243	5.0	P	Vitamin k epoxide reductase
COG4243	5.0	S	quinone binding
COG0277	5.0	C	flavin adenine dinucleotide binding
COG0277	5.0	C	FAD linked oxidase domain protein
COG0775	5.0	F	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively
COG0775	5.0	F	adenosylhomocysteine nucleosidase activity
COG4177	5.0	E	L-phenylalanine transmembrane transporter activity
COG0726	5.0	G	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process
COG0726	5.0	G	polysaccharide deacetylase
COG2747	5.0	N	anti-sigma28 factor FlgM
COG2747	5.0	N	bacterial-type flagellum organization
COG0501	5.0	O	Belongs to the peptidase M48B family
COG0501	5.0	O	metalloendopeptidase activity
COG1839	5.0	S	Adenosine specific kinase
COG1042	5.0	C	acetate-CoA ligase (ADP-forming) activity
COG1042	5.0	C	CoA-binding domain protein
COG1910	5.0	P	domain protein
COG1910	5.0	P	PBP superfamily domain
COG2005	5.0	S	molybdate ion transport
COG2005	5.0	P	Transcriptional regulator
COG3436	5.0	L	IS66 Orf2 like protein
COG3436	5.0	L	PFAM IS66 Orf2 family protein
COG3474	5.0	C	cytochrome
COG3474	5.0	C	electron transfer activity
COG0427	5.0	C	acetyl-CoA hydrolase
COG0427	5.0	C	acetyl-CoA hydrolase activity
33RJP	5.0	S	NA
COG1167	5.0	K	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain MocR family and their eukaryotic orthologs
COG1167	5.0	K	transaminase activity
COG2079	5.0	E	MmgE PrpD family protein
COG2079	5.0	S	2-methylcitrate dehydratase activity
2ZTIB	5.0	S	NA
COG3215	5.0	NU	Pilus assembly protein PilZ
COG3215	5.0	NU	PilZ domain
COG4158	5.0	S	Branched-chain amino acid transport system / permease component
COG4158	5.0	T	Belongs to the binding-protein-dependent transport system permease family
COG0346	5.0	E	lactoylglutathione lyase activity
COG3224	5.0	P	Antibiotic biosynthesis monooxygenase
COG3224	5.0	S	NA
COG0667	5.0	C	oxidoreductase activity, acting on CH-OH group of donors
COG0667	5.0	C	Aldo Keto reductase
COG2027	5.0	M	D-alanyl-D-alanine carboxypeptidase
COG2027	5.0	M	serine-type D-Ala-D-Ala carboxypeptidase activity
COG3125	5.0	C	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
31669	5.0	P	COG1226 Kef-type K transport systems
33V8S	5.0	S	NA
318BZ	5.0	S	Bacterial protein of unknown function (Gcw_chp)
COG0799	5.0	H	negative regulation of ribosome biogenesis
COG0799	5.0	S	negative regulation of ribosome biogenesis
COG1593	5.0	G	TRAP-type C4-dicarboxylate transport system, large permease component
COG1593	5.0	G	mannitol 2-dehydrogenase activity
32KMV	5.0	S	NA
COG3385	5.0	L	transposase activity
COG1733	5.0	K	bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding
COG1733	5.0	K	regulation of RNA biosynthetic process
3396R	5.0	S	Alpha-helical domain 2
COG2175	5.0	Q	clavaminate synthase activity
COG2175	5.0	Q	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
COG1670	5.0	J	transferase activity, transferring acyl groups
COG1670	5.0	J	COG1670 acetyltransferases, including N-acetylases of ribosomal proteins
343Z2	5.0	S	NA
COG2761	5.0	Q	dithiol-disulfide isomerase involved in polyketide biosynthesis
COG2761	5.0	Q	protein disulfide oxidoreductase activity
335F7	5.0	S	NA
COG0480	5.0	J	translation elongation factor activity
COG0480	5.0	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
COG2764	5.0	S	NA
COG2764	5.0	E	glyoxalase bleomycin resistance protein dioxygenase
30VZA	5.0	S	Toxin co-regulated pilus biosynthesis protein Q
COG4948	5.0	M	Mandelate Racemase Muconate Lactonizing
COG4948	5.0	M	carboxylic acid catabolic process
COG3185	5.0	E	4-hydroxyphenylpyruvate dioxygenase activity
COG3185	5.0	E	4-Hydroxyphenylpyruvate dioxygenase
COG2151	5.0	S	phenylacetate catabolic process
COG2151	5.0	L	metal-sulfur cluster biosynthetic enzyme
COG3677	5.0	L	Transposase
COG3677	5.0	L	transposition, DNA-mediated
COG2960	5.0	S	NA
COG2960	5.0	M	long-chain fatty acid transporting porin activity
COG0559	5.0	E	Belongs to the binding-protein-dependent transport system permease family
COG0559	5.0	E	leucine import across plasma membrane
COG2326	5.0	G	polyphosphate kinase activity
COG2326	5.0	S	polyphosphate kinase activity
COG2193	5.0	P	ferroxidase activity
COG0693	5.0	Q	protein deglycase activity
COG0693	5.0	S	protein deglycation
COG5569	5.0	S	response to silver ion
COG5569	5.0	P	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
COG4664	5.0	Q	Tripartite ATP-independent periplasmic transporter, DctM component
COG4961	5.0	U	NA
COG4961	5.0	U	PFAM TadE family protein
COG2717	5.0	C	protein repair
COG2717	5.0	C	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. MsrQ provides electrons for reduction to the reductase catalytic subunit MsrP, using the quinone pool of the respiratory chain
COG5473	5.0	K	translation initiation factor activity
COG5473	5.0	S	NA
33PIT	5.0	S	NA
COG2346	5.0	S	oxygen binding
COG2346	5.0	O	COG2346, Truncated hemoglobins
COG1335	5.0	Q	isochorismatase
COG1335	5.0	Q	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
COG2217	5.0	P	cation-transporting ATPase activity
COG2217	5.0	P	Heavy metal translocating P-type atpase
COG1162	5.0	L	GTPase activity
COG1162	5.0	S	GTPase activity
COG0436	5.0	E	pyridoxal phosphate binding
COG0436	5.0	E	Aminotransferase
COG2327	5.0	F	Polysaccharide pyruvyl transferase
COG2327	5.0	S	slime layer polysaccharide biosynthetic process
COG4974	5.0	L	DNA integration
COG4974	5.0	L	Belongs to the 'phage' integrase family
COG0438	5.0	M	transferase activity, transferring glycosyl groups
32Y5P	5.0	S	Putative prokaryotic signal transducing protein
COG1131	5.0	V	(ABC) transporter
COG1131	5.0	V	ATPase activity
COG1704	5.0	J	LemA family
COG1704	5.0	S	LemA family
COG2721	5.0	G	sulfolactate sulfo-lyase activity
COG2766	5.0	T	serine protein kinase
COG2766	5.0	T	protein kinase activity
COG4221	5.0	S	serine 3-dehydrogenase activity
COG4221	5.0	IQ	oxidoreductase activity
COG4313	5.0	C	Protein involved in meta-pathway of phenol degradation
COG4313	5.0	C	NA
COG1247	5.0	M	-acetyltransferase
COG1247	5.0	M	phosphinothricin N-acetyltransferase activity
32SQZ	5.0	S	NA
COG0735	5.0	P	DNA-binding transcription factor activity
COG0735	5.0	P	belongs to the Fur family
COG1595	5.0	K	sigma factor activity
COG1595	5.0	K	DNA-templated transcription, initiation
COG4786	5.0	N	bacterial-type flagellum-dependent cell motility
COG4786	5.0	N	Flagellar basal body rod
COG1137	5.0	L	ATPase activity
COG1137	5.0	S	lipopolysaccharide-transporting ATPase activity
COG0655	5.0	E	NAD(P)H dehydrogenase (quinone) activity
COG0655	5.0	S	NAD(P)H dehydrogenase (quinone) activity
COG0523	5.0	S	GTP binding
COG0523	5.0	P	cobalamin synthesis protein
COG1719	5.0	S	light-independent bacteriochlorophyll biosynthetic process
COG1719	5.0	KT	4-vinyl reductase, 4VR
COG3829	5.0	T	transcription factor binding
COG4771	5.0	P	TonB-dependent receptor
33SPR	5.0	S	NA
2Z7NA	5.0	S	Psort location CytoplasmicMembrane, score
COG3276	5.0	J	translation Initiation Factor 2
COG3276	5.0	J	selenocysteine insertion sequence binding
COG0616	5.0	OU	signal peptide processing
COG0616	5.0	OU	serine-type peptidase activity
COG0568	5.0	K	sigma factor activity
COG0568	5.0	K	sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released
COG2225	5.0	C	malate synthase activity
COG2225	5.0	C	Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA
COG3258	5.0	C	oxidoreductase activity, acting on a sulfur group of donors, cytochrome as acceptor
COG3258	5.0	C	Cytochrome c
COG2331	5.0	S	Putative regulatory protein
COG2331	5.0	P	Regulatory protein, FmdB family
COG0791	5.0	M	NLP P60 protein
COG0791	5.0	M	cysteine-type peptidase activity
COG1294	5.0	C	oxidase, subunit
COG1294	5.0	C	oxidative phosphorylation
COG0334	5.0	E	Belongs to the Glu Leu Phe Val dehydrogenases family
COG0334	5.0	E	glutamate dehydrogenase [NAD(P)+] activity
COG2816	5.0	L	NAD+ diphosphatase activity
COG0664	5.0	K	- Catabolite gene activator and regulatory subunit of cAMP-dependent protein
COG0664	5.0	T	cyclic nucleotide binding
COG2421	5.0	C	Acetamidase/Formamidase family
COG2421	5.0	C	formamidase activity
COG3333	5.0	C	protein conserved in bacteria
COG3333	5.0	S	Tripartite tricarboxylate transporter TctA family
COG1451	5.0	V	nucleotide metabolic process
COG1451	5.0	S	Protein of unknown function DUF45
COG2197	5.0	K	phosphorelay signal transduction system
COG2197	5.0	K	response regulator
COG2267	5.0	I	carboxylic ester hydrolase activity
COG2085	5.0	S	cupric reductase activity
COG2085	5.0	S	NADP oxidoreductase coenzyme F420-dependent
COG2154	5.0	H	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
COG2154	5.0	H	pterin-4-alpha-carbinolamine dehydratase
COG2010	5.0	C	electron transfer activity
COG2010	5.0	C	Cytochrome c
COG1807	5.0	M	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family
COG1807	5.0	M	4-amino-4-deoxy-L-arabinose transferase activity
COG1502	5.0	I	cardiolipin biosynthetic process
COG1502	5.0	I	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
COG0741	5.0	M	lytic transglycosylase activity
COG3556	5.0	S	membrane
COG3556	5.0	S	Predicted membrane protein (DUF2214)
3320V	5.0	S	NA
COG3631	5.0	GM	Ketosteroid isomerase-related protein
COG3631	5.0	S	light absorption
COG3627	5.0	P	carbon phosphorus lyase activity
32ZFH	5.0	S	Protein of unknown function (DUF3460)
COG0028	5.0	EH	thiamine pyrophosphate binding
COG0028	5.0	EH	Belongs to the TPP enzyme family
COG0644	5.0	C	oxidoreductase
COG0644	5.0	C	geranylgeranyl reductase activity
COG1183	5.0	I	phosphatidylcholine synthase activity
COG1752	5.0	S	triglyceride mobilization
COG1752	5.0	M	Esterase of the alpha-beta hydrolase superfamily
COG2801	5.0	L	Transposase and inactivated derivatives
COG2801	5.0	L	transposition
COG1396	5.0	K	sequence-specific DNA binding
COG3837	5.0	K	Cupin domain
COG3837	5.0	S	Cupin domain
COG1173	5.0	P	nitrogen compound transport
COG1173	5.0	P	ABC-type dipeptide oligopeptide nickel transport systems, permease components
32S3K	5.0	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
COG4564	5.0	T	Single Cache domain 2
COG0607	5.0	P	sulfurtransferase activity
COG0607	5.0	P	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS
COG3235	5.0	S	Cobalt uptake substrate-specific transmembrane region
COG3235	5.0	S	membrane
COG3706	5.0	T	GGDEF domain
32SHH	5.0	S	NA
COG2608	5.0	P	superoxide dismutase copper chaperone activity
COG2608	5.0	P	mercury ion transmembrane transporter activity
COG4566	5.0	T	intracellular signal transduction
COG4566	5.0	T	phosphorelay signal transduction system
31WHT	5.0	S	NA
COG0226	5.0	P	Part of the ABC transporter complex PstSACB involved in phosphate import
COG0226	5.0	P	phosphate ion binding
COG3644	5.0	S	Uncharacterized protein conserved in bacteria (DUF2239)
COG3644	5.0	M	Uncharacterized protein conserved in bacteria (DUF2239)
33T7G	5.0	S	HEAT repeats
COG0654	5.0	CH	FAD binding
COG0654	5.0	CH	COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG0477	5.0	EGP	Major facilitator Superfamily
COG3662	5.0	L	Protein conserved in bacteria
COG3662	5.0	S	Uncharacterized protein conserved in bacteria (DUF2236)
COG5572	5.0	CO	integral membrane protein
COG5572	5.0	S	Predicted integral membrane protein (DUF2282)
33AS4	5.0	S	Protein of unknown function (DUF2970)
COG3620	5.0	K	sequence-specific DNA binding
COG0646	5.0	E	S-methyltransferase activity
COG0646	5.0	E	methionine synthase
COG5265	5.0	V	ATPase activity, coupled to transmembrane movement of substances
COG5265	5.0	V	(ABC) transporter
COG3505	5.0	U	Type IV secretory pathway VirD4
COG3505	5.0	U	unidirectional conjugation
COG0299	5.0	F	phosphoribosylglycinamide formyltransferase activity
COG0299	5.0	F	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate
COG4120	5.0	S	Branched-chain amino acid transport system / permease component
COG4120	5.0	S	Belongs to the binding-protein-dependent transport system permease family
COG3288	5.0	C	NAD(P)+ transhydrogenase (AB-specific) activity
COG4615	5.0	V	Cyclic peptide transporter
COG4615	5.0	V	microcin transport
COG0469	5.0	G	pyruvate kinase activity
COG2823	5.0	NU	Periplasmic or secreted lipoprotein
COG2823	5.0	S	hyperosmotic response
COG3517	5.0	S	Type VI secretion protein, EvpB/VC_A0108, tail sheath
COG3517	5.0	S	type VI secretion protein
COG0314	5.0	H	molybdopterin synthase activity
COG0848	5.0	U	protein transport
COG0848	5.0	U	biopolymer transport protein
COG2340	5.0	C	Cysteine-rich secretory protein family
COG2340	5.0	S	peptidase inhibitor activity
COG5361	5.0	S	Protein of unknown function (DUF1214)
COG5361	5.0	P	Conserved Protein
COG1086	5.0	GM	UDP-glucose 4-epimerase activity
COG1086	5.0	GM	Polysaccharide biosynthesis protein
COG1270	5.0	H	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group
COG0488	5.0	S	ATPase activity
COG0488	5.0	L	(ABC) transporter
COG0703	5.0	F	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
COG0703	5.0	F	shikimate kinase activity
COG0782	5.0	K	RNA polymerase binding
COG0782	5.0	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus
COG1651	5.0	O	cell redox homeostasis
COG1651	5.0	O	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
