## Mon Jun 14 10:31:56 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --temp_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_2rpcpd43/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
tr|A0A4P6WY76|A0A4P6WY76_HYDPS	595537.Varpa_2411	4.2e-66	258.1	COG0518@1|root,COG0518@2|Bacteria,1MV9U@1224|Proteobacteria,2VQEC@28216|Betaproteobacteria,4ADVM@80864|Comamonadaceae	28216|Betaproteobacteria	F	Peptidase C26	guaA_2	-	6.3.5.2	ko:K01951	ko00230,ko00983,ko01100,map00230,map00983,map01100	M00050	R01230,R01231,R08244	RC00010,RC00204	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	GATase
tr|A0A4P6WXG5|A0A4P6WXG5_HYDPS	358220.C380_13380	5.9e-110	403.7	COG0410@1|root,COG0410@2|Bacteria,1MUR3@1224|Proteobacteria,2VINK@28216|Betaproteobacteria,4A9WA@80864|Comamonadaceae	28216|Betaproteobacteria	E	PFAM ABC transporter related	-	-	-	ko:K01996	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	ABC_tran
tr|A0A4P6WUT6|A0A4P6WUT6_HYDPS	1100720.ALKN01000040_gene2200	3.9e-174	617.5	COG0646@1|root,COG0646@2|Bacteria,1NPFY@1224|Proteobacteria,2VJ2K@28216|Betaproteobacteria,4AAEB@80864|Comamonadaceae	28216|Betaproteobacteria	H	PFAM homocysteine S-methyltransferase	metHa	-	2.1.1.13	ko:K00548	ko00270,ko00450,ko00670,ko01100,ko01110,ko01230,map00270,map00450,map00670,map01100,map01110,map01230	M00017	R00946,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	-	-	-	S-methyl_trans
tr|A0A4V1ABE5|A0A4V1ABE5_HYDPS	296591.Bpro_3522	6.9e-52	209.9	2AN43@1|root,31D1U@2|Bacteria,1RICI@1224|Proteobacteria,2VT3P@28216|Betaproteobacteria,4AE91@80864|Comamonadaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WUC3|A0A4P6WUC3_HYDPS	1100721.ALKO01000021_gene789	8.7e-151	539.7	COG1845@1|root,COG1845@2|Bacteria,1MUCK@1224|Proteobacteria,2VJAP@28216|Betaproteobacteria,4AA6B@80864|Comamonadaceae	28216|Betaproteobacteria	C	Cytochrome c oxidase subunit III	coxC	-	1.9.3.1	ko:K02276	ko00190,ko01100,map00190,map01100	M00155	R00081	RC00016	ko00000,ko00001,ko00002,ko01000	3.D.4.4,3.D.4.6	-	-	COX3
tr|A0A4P6WZ03|A0A4P6WZ03_HYDPS	296591.Bpro_1810	1.7e-221	775.4	COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,2VHSB@28216|Betaproteobacteria,4AB5M@80864|Comamonadaceae	28216|Betaproteobacteria	T	TIGRFAM nitrogen regulation protein NR(I)	ntrC	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0043565,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141	-	ko:K07712	ko02020,map02020	M00497	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	HTH_8,Response_reg,Sigma54_activat
tr|A0A4P6WVA0|A0A4P6WVA0_HYDPS	365046.Rta_03100	4.6e-118	431.0	COG3618@1|root,COG3618@2|Bacteria,1QWWJ@1224|Proteobacteria,2VMAE@28216|Betaproteobacteria,4AAG5@80864|Comamonadaceae	28216|Betaproteobacteria	S	amidohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Amidohydro_2
tr|A0A4P6WY66|A0A4P6WY66_HYDPS	1100721.ALKO01000027_gene379	3.3e-47	194.5	COG0589@1|root,COG0589@2|Bacteria,1N8EJ@1224|Proteobacteria,2VUAF@28216|Betaproteobacteria,4ADXE@80864|Comamonadaceae	28216|Betaproteobacteria	T	Belongs to the universal stress protein A family	-	-	-	-	-	-	-	-	-	-	-	-	Usp
tr|A0A4V1AB83|A0A4V1AB83_HYDPS	1458275.AZ34_14035	2e-60	238.8	COG3090@1|root,COG3090@2|Bacteria,1R7QD@1224|Proteobacteria,2VQ1H@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Tripartite ATP-independent periplasmic transporter, DctQ	-	-	-	ko:K21394	-	-	-	-	ko00000,ko02000	2.A.56.1	-	-	DctQ
tr|A0A4P6X3Z5|A0A4P6X3Z5_HYDPS	1100720.ALKN01000043_gene2733	9.6e-31	139.4	COG2010@1|root,COG2010@2|Bacteria,1N71Z@1224|Proteobacteria,2VUHM@28216|Betaproteobacteria	28216|Betaproteobacteria	C	Cytochrome c	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WW53|A0A4P6WW53_HYDPS	614083.AWQR01000012_gene1323	8.9e-43	180.3	COG2823@1|root,COG2823@2|Bacteria,1N0SU@1224|Proteobacteria,2VUCR@28216|Betaproteobacteria,4AJJA@80864|Comamonadaceae	28216|Betaproteobacteria	S	BON domain	-	-	-	ko:K04065	-	-	-	-	ko00000	-	-	-	BON
tr|A0A4P6X1N0|A0A4P6X1N0_HYDPS	397945.Aave_1530	2.8e-93	348.2	COG0664@1|root,COG0664@2|Bacteria,1MVGE@1224|Proteobacteria,2VH04@28216|Betaproteobacteria,4ABIC@80864|Comamonadaceae	28216|Betaproteobacteria	K	Transcriptional regulator crp fnr family	-	-	-	ko:K01420	-	-	-	-	ko00000,ko03000	-	-	-	HTH_Crp_2,cNMP_binding
tr|A0A4P6WVN0|A0A4P6WVN0_HYDPS	1265490.JHVY01000006_gene2027	6.8e-155	553.9	28H52@1|root,2Z7HQ@2|Bacteria,1MXTF@1224|Proteobacteria,1RN8H@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF1329)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1329
tr|A0A4P6X141|A0A4P6X141_HYDPS	397945.Aave_2759	1.6e-74	286.2	2DB81@1|root,2Z7PS@2|Bacteria,1RFVM@1224|Proteobacteria,2VRCW@28216|Betaproteobacteria,4AH3V@80864|Comamonadaceae	28216|Betaproteobacteria	S	Protein of unknown function (DUF2895)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2895
tr|A0A4P6WWI1|A0A4P6WWI1_HYDPS	1415630.U771_31830	8.7e-70	269.6	COG4275@1|root,COG4275@2|Bacteria,1MYDE@1224|Proteobacteria	1224|Proteobacteria	P	Chromate resistance exported protein	-	-	-	-	-	-	-	-	-	-	-	-	Chrome_Resist,Rhodanese
tr|A0A4P6WUG8|A0A4P6WUG8_HYDPS	420662.Mpe_A1154	2.4e-14	84.3	COG0625@1|root,COG0625@2|Bacteria	2|Bacteria	O	glutathione transferase activity	-	-	-	-	-	-	-	-	-	-	-	-	GST_C_2,GST_N_3
tr|A0A4P6WVM4|A0A4P6WVM4_HYDPS	1223521.BBJX01000013_gene368	4.6e-75	287.7	COG0670@1|root,COG0670@2|Bacteria,1MU69@1224|Proteobacteria,2VKZV@28216|Betaproteobacteria	28216|Betaproteobacteria	S	Belongs to the BI1 family	yccA	-	-	ko:K19416	-	M00742	-	-	ko00000,ko00002,ko02000	1.A.14.2.1	-	-	Bax1-I
tr|A0A4P6X0X2|A0A4P6X0X2_HYDPS	1267005.KB911255_gene2809	0.0	1618.6	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,2TRUN@28211|Alphaproteobacteria	28211|Alphaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
tr|A0A4P6WZ07|A0A4P6WZ07_HYDPS	232721.Ajs_1009	2.6e-131	475.3	COG3317@1|root,COG3317@2|Bacteria,1N670@1224|Proteobacteria,2VHS5@28216|Betaproteobacteria,4ABTG@80864|Comamonadaceae	28216|Betaproteobacteria	M	Nlpbdapx family lipoprotein	nlpB	-	-	ko:K07287	-	-	-	-	ko00000,ko02000	1.B.33.1	-	-	Lipoprotein_18
tr|A0A4P6X4W2|A0A4P6X4W2_HYDPS	1100721.ALKO01000017_gene1728	1.1e-147	529.6	COG0079@1|root,COG0079@2|Bacteria,1MW7I@1224|Proteobacteria,2VHX2@28216|Betaproteobacteria,4A9XW@80864|Comamonadaceae	28216|Betaproteobacteria	E	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily	hisC	-	2.6.1.9	ko:K00817	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03243	RC00006,RC00888	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
tr|A0A4P6WW42|A0A4P6WW42_HYDPS	365044.Pnap_0262	1.1e-61	243.0	2CDFS@1|root,32RXQ@2|Bacteria,1N09V@1224|Proteobacteria,2VR7P@28216|Betaproteobacteria,4AE2J@80864|Comamonadaceae	28216|Betaproteobacteria	S	Protein of unknown function (DUF2946)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2944
tr|A0A4P6X162|A0A4P6X162_HYDPS	338969.Rfer_3181	1.4e-20	104.8	COG0267@1|root,COG0267@2|Bacteria,1N6QV@1224|Proteobacteria,2VVW8@28216|Betaproteobacteria,4AFGJ@80864|Comamonadaceae	28216|Betaproteobacteria	J	Belongs to the bacterial ribosomal protein bL33 family	rpmG	-	-	ko:K02913	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L33
tr|A0A4V1ABG4|A0A4V1ABG4_HYDPS	365046.Rta_12720	7.2e-71	273.9	COG1802@1|root,COG1802@2|Bacteria,1MY2M@1224|Proteobacteria,2VK5T@28216|Betaproteobacteria,4ADUT@80864|Comamonadaceae	28216|Betaproteobacteria	K	FCD	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
tr|A0A4P6WZ65|A0A4P6WZ65_HYDPS	1286631.X805_10750	1.3e-34	153.3	COG3184@1|root,COG3184@2|Bacteria,1RM4N@1224|Proteobacteria,2VT19@28216|Betaproteobacteria,1KM59@119065|unclassified Burkholderiales	28216|Betaproteobacteria	S	Protein conserved in bacteria	-	-	-	ko:K09924	-	-	-	-	ko00000	-	-	-	DUF2059
tr|A0A4P6X2Y3|A0A4P6X2Y3_HYDPS	1429851.X548_10955	9.6e-55	221.1	COG0741@1|root,COG0741@2|Bacteria,1N00I@1224|Proteobacteria,1S0XN@1236|Gammaproteobacteria,1XD29@135614|Xanthomonadales	135614|Xanthomonadales	M	Transglycosylase SLT domain	-	-	-	ko:K03194	ko03070,map03070	M00333	-	-	ko00000,ko00001,ko00002,ko02044	-	-	-	SLT
tr|A0A4P6X407|A0A4P6X407_HYDPS	232721.Ajs_1527	1.4e-60	238.8	2BU4A@1|root,32PD7@2|Bacteria,1RJ5M@1224|Proteobacteria,2VSM5@28216|Betaproteobacteria,4AEKW@80864|Comamonadaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WUM0|A0A4P6WUM0_HYDPS	614083.AWQR01000018_gene1902	1.6e-136	492.3	COG1177@1|root,COG1177@2|Bacteria,1MVC5@1224|Proteobacteria,2VHYY@28216|Betaproteobacteria,4AD0J@80864|Comamonadaceae	28216|Betaproteobacteria	P	PFAM binding-protein-dependent transport systems inner membrane component	potI	-	-	ko:K11074	ko02010,map02010	M00300	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11.2	-	-	BPD_transp_1
tr|A0A4P6X191|A0A4P6X191_HYDPS	1100720.ALKN01000024_gene1463	2.5e-258	897.9	COG0608@1|root,COG0608@2|Bacteria,1MU1M@1224|Proteobacteria,2VIGF@28216|Betaproteobacteria,4ABP4@80864|Comamonadaceae	28216|Betaproteobacteria	L	PFAM phosphoesterase, RecJ domain protein	recJ	-	-	ko:K07462	ko03410,ko03430,ko03440,map03410,map03430,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DHH,DHHA1
tr|A0A4V1ABB0|A0A4V1ABB0_HYDPS	365046.Rta_33500	1.5e-154	552.7	COG0612@1|root,COG0612@2|Bacteria,1MU6R@1224|Proteobacteria,2VH8D@28216|Betaproteobacteria,4AAEI@80864|Comamonadaceae	28216|Betaproteobacteria	S	PFAM peptidase M16 domain protein	-	-	-	ko:K07263	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M16,Peptidase_M16_C
tr|A0A4P6WV15|A0A4P6WV15_HYDPS	614083.AWQR01000052_gene3403	5e-82	310.8	COG0193@1|root,COG0193@2|Bacteria,1MX1P@1224|Proteobacteria,2VKKJ@28216|Betaproteobacteria,4ABYV@80864|Comamonadaceae	28216|Betaproteobacteria	J	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis	pth	-	3.1.1.29	ko:K01056	-	-	-	-	ko00000,ko01000,ko03012	-	-	-	Pept_tRNA_hydro
tr|A0A4P6X335|A0A4P6X335_HYDPS	1215092.PA6_016_01290	1.1e-34	152.9	2DWM4@1|root,32V1T@2|Bacteria,1N067@1224|Proteobacteria,1SSCV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	GtrA-like protein	-	-	-	-	-	-	-	-	-	-	-	-	GtrA
tr|A0A4P6X3I7|A0A4P6X3I7_HYDPS	365046.Rta_19790	3.6e-17	94.4	2ED33@1|root,336ZZ@2|Bacteria,1NB4Z@1224|Proteobacteria,2VWEJ@28216|Betaproteobacteria,4AFGV@80864|Comamonadaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WT68|A0A4P6WT68_HYDPS	365046.Rta_31490	3e-154	551.2	COG0031@1|root,COG0031@2|Bacteria,1MUBE@1224|Proteobacteria,2VH7B@28216|Betaproteobacteria,4AC80@80864|Comamonadaceae	28216|Betaproteobacteria	E	Belongs to the cysteine synthase cystathionine beta- synthase family	cysM	GO:0000003,GO:0000096,GO:0000097,GO:0000902,GO:0000904,GO:0003006,GO:0003674,GO:0003824,GO:0004124,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005777,GO:0005829,GO:0005886,GO:0006082,GO:0006520,GO:0006534,GO:0006535,GO:0006563,GO:0006790,GO:0006807,GO:0007568,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009507,GO:0009532,GO:0009536,GO:0009566,GO:0009567,GO:0009570,GO:0009653,GO:0009826,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0010035,GO:0010038,GO:0016020,GO:0016043,GO:0016049,GO:0016053,GO:0016740,GO:0016765,GO:0019344,GO:0019752,GO:0019842,GO:0019953,GO:0022414,GO:0030154,GO:0030170,GO:0031090,GO:0032501,GO:0032502,GO:0032989,GO:0036094,GO:0040007,GO:0042221,GO:0042579,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044706,GO:0046394,GO:0046686,GO:0048037,GO:0048046,GO:0048468,GO:0048588,GO:0048589,GO:0048856,GO:0048868,GO:0048869,GO:0050662,GO:0050896,GO:0051704,GO:0060560,GO:0070279,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:0098588,GO:0098805,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.5.1.47	ko:K12339	ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230	M00021	R00897,R03132,R03601,R04859	RC00020,RC02814,RC02821,RC02876	ko00000,ko00001,ko00002,ko01000	-	-	-	PALP
tr|A0A4P6X1R8|A0A4P6X1R8_HYDPS	365046.Rta_37210	2.7e-143	515.4	COG2211@1|root,COG2211@2|Bacteria,1MVUM@1224|Proteobacteria,2VI47@28216|Betaproteobacteria,4AAZH@80864|Comamonadaceae	28216|Betaproteobacteria	G	MFS/sugar transport protein	-	-	-	-	-	-	-	-	-	-	-	-	MFS_2
tr|A0A4P6WYZ0|A0A4P6WYZ0_HYDPS	614083.AWQR01000010_gene1522	0.0	1441.0	COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,1MU31@1224|Proteobacteria,2VJ57@28216|Betaproteobacteria,4AAFC@80864|Comamonadaceae	28216|Betaproteobacteria	L	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity	polA	-	2.7.7.7	ko:K02335	ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440	-	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1
tr|A0A4P6X9F3|A0A4P6X9F3_HYDPS	1502852.FG94_04949	9.7e-73	280.0	COG0398@1|root,COG0398@2|Bacteria,1RDYV@1224|Proteobacteria,2W415@28216|Betaproteobacteria	28216|Betaproteobacteria	S	SNARE associated Golgi protein	-	-	-	-	-	-	-	-	-	-	-	-	SNARE_assoc
tr|A0A4P6X3R9|A0A4P6X3R9_HYDPS	1504672.669787284	1.3e-166	592.4	COG0687@1|root,COG0687@2|Bacteria,1MU0I@1224|Proteobacteria,2VICQ@28216|Betaproteobacteria,4AAM0@80864|Comamonadaceae	28216|Betaproteobacteria	E	PFAM extracellular solute-binding protein family 1	potD	-	-	ko:K02055	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	SBP_bac_8
tr|A0A4P6WZ59|A0A4P6WZ59_HYDPS	365044.Pnap_0730	2.2e-25	121.3	2E4CK@1|root,32Z81@2|Bacteria,1N7JR@1224|Proteobacteria,2VVSC@28216|Betaproteobacteria,4AG0T@80864|Comamonadaceae	28216|Betaproteobacteria	S	PFAM coenzyme PQQ synthesis D	pqqD	-	-	ko:K06138	-	-	-	-	ko00000	-	-	-	PqqD
tr|A0A4P6WUU3|A0A4P6WUU3_HYDPS	338969.Rfer_2492	3.7e-46	191.0	COG2050@1|root,COG2050@2|Bacteria,1MYG1@1224|Proteobacteria,2VTQD@28216|Betaproteobacteria,4ADXA@80864|Comamonadaceae	28216|Betaproteobacteria	Q	PFAM thioesterase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
tr|A0A4P6WVY1|A0A4P6WVY1_HYDPS	365044.Pnap_1760	1.3e-112	412.5	COG0528@1|root,COG0528@2|Bacteria,1MV3N@1224|Proteobacteria,2VH8A@28216|Betaproteobacteria,4AAQS@80864|Comamonadaceae	28216|Betaproteobacteria	F	Catalyzes the reversible phosphorylation of UMP to UDP	pyrH	-	2.7.4.22	ko:K09903	ko00240,ko01100,map00240,map01100	-	R00158	RC00002	ko00000,ko00001,ko01000	-	-	-	AA_kinase
tr|A0A4P6X3N5|A0A4P6X3N5_HYDPS	582744.Msip34_1604	1e-40	172.9	COG2135@1|root,COG2135@2|Bacteria,1RFZU@1224|Proteobacteria,2VQDU@28216|Betaproteobacteria,2KN0G@206350|Nitrosomonadales	206350|Nitrosomonadales	S	SOS response associated peptidase (SRAP)	-	-	-	-	-	-	-	-	-	-	-	-	SRAP
tr|A0A4P6WUG6|A0A4P6WUG6_HYDPS	1296416.JACB01000010_gene1524	3.7e-52	213.0	COG2834@1|root,COG3391@1|root,COG2834@2|Bacteria,COG3391@2|Bacteria,4NNEF@976|Bacteroidetes,1I9S0@117743|Flavobacteriia	976|Bacteroidetes	M	Cadherin domain	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,NHL
tr|A0A4P6WXM3|A0A4P6WXM3_HYDPS	1100720.ALKN01000028_gene2619	8.3e-111	406.8	COG3639@1|root,COG3639@2|Bacteria,1MW4F@1224|Proteobacteria,2VKCA@28216|Betaproteobacteria,4AAV0@80864|Comamonadaceae	28216|Betaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	phnE	-	-	ko:K02042	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	BPD_transp_1
tr|A0A4P6X7N3|A0A4P6X7N3_HYDPS	296591.Bpro_3619	5.5e-65	254.2	COG2802@1|root,COG2802@2|Bacteria,1RFYH@1224|Proteobacteria,2VSA4@28216|Betaproteobacteria,4ADGM@80864|Comamonadaceae	28216|Betaproteobacteria	S	PFAM peptidase S16 lon domain protein	-	-	-	ko:K07157	-	-	-	-	ko00000	-	-	-	LON_substr_bdg
tr|A0A4P6WUS3|A0A4P6WUS3_HYDPS	358220.C380_18970	9.4e-202	709.5	COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,2VKJI@28216|Betaproteobacteria,4AB05@80864|Comamonadaceae	28216|Betaproteobacteria	H	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	bioA	-	2.6.1.62	ko:K00833	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03231	RC00006,RC00887	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_3
tr|A0A4P6WV72|A0A4P6WV72_HYDPS	365044.Pnap_0040	1.6e-104	386.0	COG0600@1|root,COG0600@2|Bacteria,1MWDJ@1224|Proteobacteria,2VMK8@28216|Betaproteobacteria,4AHBQ@80864|Comamonadaceae	28216|Betaproteobacteria	P	PFAM binding-protein-dependent transport systems inner membrane component	-	-	-	ko:K02050	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	BPD_transp_1
tr|A0A4P6WWH7|A0A4P6WWH7_HYDPS	296591.Bpro_0488	9.4e-36	156.0	COG0199@1|root,COG0199@2|Bacteria,1MZDT@1224|Proteobacteria,2VSVX@28216|Betaproteobacteria,4AEBE@80864|Comamonadaceae	28216|Betaproteobacteria	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	-	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
tr|A0A4P6WUJ3|A0A4P6WUJ3_HYDPS	864051.BurJ1DRAFT_2670	9.2e-156	557.0	COG1020@1|root,COG1020@2|Bacteria,1N7HY@1224|Proteobacteria,2VMJZ@28216|Betaproteobacteria,1KN20@119065|unclassified Burkholderiales	28216|Betaproteobacteria	Q	Protein of unknown function (DUF1298)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1298,WES_acyltransf
tr|A0A4P6WYX0|A0A4P6WYX0_HYDPS	1157708.KB907463_gene816	7e-76	291.2	COG0399@1|root,COG0399@2|Bacteria,1MUPN@1224|Proteobacteria,2VJDZ@28216|Betaproteobacteria,4ABQ6@80864|Comamonadaceae	28216|Betaproteobacteria	E	Belongs to the DegT DnrJ EryC1 family	wlbC	-	2.6.1.98	ko:K13017	ko00520,map00520	-	R10141	RC00006,RC00781	ko00000,ko00001,ko01000,ko01005,ko01007	-	-	-	DegT_DnrJ_EryC1
tr|A0A4P6X4D3|A0A4P6X4D3_HYDPS	1223521.BBJX01000009_gene1143	2.8e-123	448.4	COG2866@1|root,COG2866@2|Bacteria,1MYRD@1224|Proteobacteria	1224|Proteobacteria	E	Succinylglutamate desuccinylase / Aspartoacylase family	XCC2022	-	-	-	-	-	-	-	-	-	-	-	AstE_AspA,DUF2817,Peptidase_M14
tr|A0A4V1AAY7|A0A4V1AAY7_HYDPS	1504672.669784989	7.3e-43	180.6	294MD@1|root,2ZS0U@2|Bacteria,1RE2W@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6X150|A0A4P6X150_HYDPS	887062.HGR_15929	8.7e-233	812.8	COG1290@1|root,COG1290@2|Bacteria,1MV97@1224|Proteobacteria,2VHP5@28216|Betaproteobacteria,4AAVH@80864|Comamonadaceae	28216|Betaproteobacteria	C	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis	petB	-	-	ko:K00412	ko00190,ko01100,ko02020,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05016	M00151,M00152	-	-	ko00000,ko00001,ko00002,ko03029	-	-	-	Cytochrom_B_C,Cytochrome_B
tr|A0A4V1AB56|A0A4V1AB56_HYDPS	1100720.ALKN01000007_gene3060	4.1e-172	610.9	COG0683@1|root,COG0683@2|Bacteria,1MWR8@1224|Proteobacteria,2VHH6@28216|Betaproteobacteria,4ACGH@80864|Comamonadaceae	28216|Betaproteobacteria	E	Extracellular ligand-binding receptor	-	-	-	ko:K01999	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	Peripla_BP_6
tr|A0A4P6X5D2|A0A4P6X5D2_HYDPS	391735.Veis_3265	9.8e-85	320.1	COG0313@1|root,COG0313@2|Bacteria,1RARW@1224|Proteobacteria,2VQ34@28216|Betaproteobacteria,4AAHJ@80864|Comamonadaceae	28216|Betaproteobacteria	H	Uroporphyrin-iii c tetrapyrrole (Corrin porphyrin) methyltransferase	rsmI_2	-	2.1.1.198	ko:K07056	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	TP_methylase
tr|A0A4P6WVW2|A0A4P6WVW2_HYDPS	1217718.ALOU01000075_gene4491	1.2e-34	152.1	2BXCC@1|root,32VC3@2|Bacteria,1N5M8@1224|Proteobacteria,2VXKA@28216|Betaproteobacteria,1K8T0@119060|Burkholderiaceae	28216|Betaproteobacteria	Q	Toluene-4-monooxygenase system	-	-	1.14.13.236	ko:K15761	ko00623,ko01100,ko01120,ko01220,map00623,map01100,map01120,map01220	M00538	R02550,R03562,R05666	RC00269,RC00490	ko00000,ko00001,ko00002,ko01000	-	-	-	TmoB
